Year,Quarter,Category,Subcategory,Received,Approved,Denied,Pending
2022,Q1,EB1,E11 - Extraordinary Ability,2448,1391,492,5925
2022,Q1,EB1,E12 - Outstanding Professor or Researcher,1127,995,101,1272
2022,Q1,EB1,E13 - Executive or Manager,2688,2285,57,12188
2022,Q1,EB2,E21 - Advanced Degree,16741,16325,226,19598
2022,Q1,EB2,NIW - National Interest Waiver,4883,3578,252,20584
2022,Q1,EB3,E31 - Skilled Worker,4336,4078,156,9025
2022,Q1,EB3,E32 - Baccalaureate Degree,7896,7672,112,22413
2022,Q1,EB3,EW3 - Unskilled Worker,2407,2203,74,10562
2022,Q2,EB1,E11 - Extraordinary Ability,2383,1384,452,6063
2022,Q2,EB1,E12 - Outstanding Professor or Researcher,1007,883,93,1228
2022,Q2,EB1,E13 - Executive or Manager,2656,2083,35,12803
2022,Q2,EB2,E21 - Advanced Degree,16919,16587,146,19466
2022,Q2,EB2,NIW - National Interest Waiver,4845,3470,161,21045
2022,Q2,EB3,E31 - Skilled Worker,4810,4592,136,7949
2022,Q2,EB3,E32 - Baccalaureate Degree,6387,6195,63,19052
2022,Q2,EB3,EW3 - Unskilled Worker,1970,1797,34,9404
2022,Q3,EB1,E11 - Extraordinary Ability,2595,1493,433,6137
2022,Q3,EB1,E12 - Outstanding Professor or Researcher,1060,924,87,1157
2022,Q3,EB1,E13 - Executive or Manager,2785,2112,16,10567
2022,Q3,EB2,E21 - Advanced Degree,15672,15254,117,13886
2022,Q3,EB2,NIW - National Interest Waiver,5328,2395,50,20318
2022,Q3,EB3,E31 - Skilled Worker,7058,6621,121,7136
2022,Q3,EB3,E32 - Baccalaureate Degree,6242,5970,68,11939
2022,Q3,EB3,EW3 - Unskilled Worker,3108,2698,40,9045
2022,Q4,EB1,E11 - Extraordinary Ability,3055,1355,231,6281
2022,Q4,EB1,E12 - Outstanding Professor or Researcher,1128,942,43,866
2022,Q4,EB1,E13 - Executive or Manager,3044,1871,4,6755
2022,Q4,EB2,E21 - Advanced Degree,13167,12247,54,6368
2022,Q4,EB2,NIW - National Interest Waiver,6917,873,5,18599
2022,Q4,EB3,E31 - Skilled Worker,3742,3309,74,4670
2022,Q4,EB3,E32 - Baccalaureate Degree,4604,4191,42,4145
2022,Q4,EB3,EW3 - Unskilled Worker,2292,1871,28,6845
2023,Q1,EB1,E11 - Extraordinary Ability,3463,2367,823,6382
2023,Q1,EB1,E12 - Outstanding Professor or Researcher,1310,1400,120,615
2023,Q1,EB1,E13 - Executive or Manager,4317,4077,289,6811
2023,Q1,EB2,E21 - Advanced Degree,10963,13006,542,4224
2023,Q1,EB2,NIW - National Interest Waiver,8807,7610,1348,18816
2023,Q1,EB3,E31 - Skilled Worker,4583,5424,345,3131
2023,Q1,EB3,E32 - Baccalaureate Degree,4304,5808,283,2385
2023,Q1,EB3,EW3 - Unskilled Worker,2416,3119,338,5538
2023,Q2,EB1,E11 - Extraordinary Ability,3569,2400,1045,6588
2023,Q2,EB1,E12 - Outstanding Professor or Researcher,1328,1274,99,605
2023,Q2,EB1,E13 - Executive or Manager,3376,4342,317,5632
2023,Q2,EB2,E21 - Advanced Degree,14119,13284,707,5183
2023,Q2,EB2,NIW - National Interest Waiver,8120,9204,1681,16216
2023,Q2,EB3,E31 - Skilled Worker,6644,6112,227,3698
2023,Q2,EB3,E32 - Baccalaureate Degree,5635,5541,274,2444
2023,Q2,EB3,EW3 - Unskilled Worker,2715,2620,225,5648
2023,Q3,EB1,E11 - Extraordinary Ability,4278,2580,1097,7265
2023,Q3,EB1,E12 - Outstanding Professor or Researcher,1404,1177,81,767
2023,Q3,EB1,E13 - Executive or Manager,4010,3893,218,5564
2023,Q3,EB2,E21 - Advanced Degree,14247,12442,609,6855
2023,Q3,EB2,NIW - National Interest Waiver,10527,7398,2200,17264
2023,Q3,EB3,E31 - Skilled Worker,8688,6450,213,5840
2023,Q3,EB3,E32 - Baccalaureate Degree,5947,5103,168,3242
2023,Q3,EB3,EW3 - Unskilled Worker,2970,2204,140,6393
2023,Q4,EB1,E11 - Extraordinary Ability,4595,3009,1191,7657
2023,Q4,EB1,E12 - Outstanding Professor or Researcher,1476,1189,34,1019
2023,Q4,EB1,E13 - Executive or Manager,4145,3761,210,5797
2023,Q4,EB2,E21 - Advanced Degree,13878,11244,1208,9433
2023,Q4,EB2,NIW - National Interest Waiver,12349,7677,2943,19117
2023,Q4,EB3,E31 - Skilled Worker,6501,5616,283,6801
2023,Q4,EB3,E32 - Baccalaureate Degree,4985,4388,232,3844
2023,Q4,EB3,EW3 - Unskilled Worker,3359,2871,147,6884
2024,Q1,EB1,E11 - Extraordinary Ability,4704,2928,1067,8088
2024,Q1,EB1,E12 - Outstanding Professor or Researcher,1399,1227,30,1158
2024,Q1,EB1,E13 - Executive or Manager,3575,3374,136,5750
2024,Q1,EB2,E21 - Advanced Degree,13341,10924,333,11577
2024,Q1,EB2,NIW - National Interest Waiver,14264,7996,2423,22756
2024,Q1,EB3,E31 - Skilled Worker,7846,4945,116,9116
2024,Q1,EB3,E32 - Baccalaureate Degree,6610,4938,92,5243
2024,Q1,EB3,EW3 - Unskilled Worker,3851,2364,123,7361
2024,Q2,EB1,E11 - Extraordinary Ability,5364,3112,1263,8992
2024,Q2,EB1,E12 - Outstanding Professor or Researcher,1546,1170,29,1523
2024,Q2,EB1,E13 - Executive or Manager,4595,3944,161,6274
2024,Q2,EB2,E21 - Advanced Degree,12397,11844,691,12108
2024,Q2,EB2,NIW - National Interest Waiver,16437,8052,2572,28694
2024,Q2,EB3,E31 - Skilled Worker,9354,6264,196,12161
2024,Q2,EB3,E32 - Baccalaureate Degree,7416,5856,178,6771
2024,Q2,EB3,EW3 - Unskilled Worker,4277,2312,179,9283
2024,Q3,EB1,E11 - Extraordinary Ability,4331,2857,1225,9210
2024,Q3,EB1,E12 - Outstanding Professor or Researcher,1190,1090,23,1605
2024,Q3,EB1,E13 - Executive or Manager,3343,3680,127,5862
2024,Q3,EB2,E21 - Advanced Degree,13602,12409,321,13418
2024,Q3,EB2,NIW - National Interest Waiver,14235,6082,2834,34118
2024,Q3,EB3,E31 - Skilled Worker,8910,4851,108,16278
2024,Q3,EB3,E32 - Baccalaureate Degree,5723,6389,107,6109
2024,Q3,EB3,EW3 - Unskilled Worker,3153,2250,106,10397
2024,Q4,EB1,E11 - Extraordinary Ability,5767,3334,1148,10586
2024,Q4,EB1,E12 - Outstanding Professor or Researcher,1308,1119,13,1807
2024,Q4,EB1,E13 - Executive or Manager,4044,3506,148,6342
2024,Q4,EB2,E21 - Advanced Degree,11080,11489,364,13199
2024,Q4,EB2,NIW - National Interest Waiver,18613,5396,3427,44093
2024,Q4,EB3,E31 - Skilled Worker,6782,4594,138,18633
2024,Q4,EB3,E32 - Baccalaureate Degree,4729,5588,103,5421
2024,Q4,EB3,EW3 - Unskilled Worker,4512,3222,180,12125
2025,Q1,EB1,E11 - Extraordinary Ability,7370,3265,1097,13561
2025,Q1,EB1,E12 - Outstanding Professor or Researcher,1515,1336,19,1976
2025,Q1,EB1,E13 - Executive or Manager,4609,2873,87,7991
2025,Q1,EB2,E21 - Advanced Degree,8298,9720,157,11632
2025,Q1,EB2,NIW - National Interest Waiver,20136,4695,2795,56637
2025,Q1,EB3,E31 - Skilled Worker,6872,3516,92,21937
2025,Q1,EB3,E32 - Baccalaureate Degree,4143,4428,75,5048
2025,Q1,EB3,EW3 - Unskilled Worker,4992,3069,57,14038
2025,Q2,EB1,E11 - Extraordinary Ability,7262,3429,1286,16126
2025,Q2,EB1,E12 - Outstanding Professor or Researcher,1424,1335,31,2042
2025,Q2,EB1,E13 - Executive or Manager,4060,3033,98,8997
2025,Q2,EB2,E21 - Advanced Degree,11081,11122,74,11727
2025,Q2,EB2,NIW - National Interest Waiver,17604,6623,3211,64515
2025,Q2,EB3,E31 - Skilled Worker,7418,3136,79,26254
2025,Q2,EB3,E32 - Baccalaureate Degree,4599,4536,88,5141
2025,Q2,EB3,EW3 - Unskilled Worker,4499,3262,59,15310
